item,itemLabel,itemDesc,siteLinks
Q1190319,Josh Gad,American actor,41
Q381178,Bob Barker,American game show host,41
Q310763,Shaggy,Jamaican reggae musician,41
Q310396,Kristján Eldjárn,"Icelandic politician, 3rd President of Iceland",41
Q332493,George Osborne,British politician,41
Q77040,Richard Kruspe,German rock musician,41
Q55614252,Ibrahim Mohamed Solih,Former President of the Maldives,41
Q312554,Mahesh Bhupathi,Indian tennis player,41
Q459184,Mario Gavranović,Swiss footballer,41
Q334065,Cédric Villani,French mathematician and politician,41
Q233736,Mýa,American singer,41
Q992223,Evgeni Plushenko,Russian figure skater and figure skating coach,41
Q15059490,Madison Beer,American singer,41
Q59315,Patrick Leahy,American politician and lawyer,41
Q355837,Christian Fuchs,Austrian association football player,41
Q229046,Fanny Blankers-Koen,"Dutch athlete, winner of four gold medals at the 1948 London Olympics",41
Q270715,Gwendolyn Brooks,American writer,41
Q254038,Nichelle Nichols,American actress,41
Q110379,Justin Bartha,American actor,41
Q6914509,Morten P. Meldal,Danish chemist,41
Q335,Patricio Aylwin,Chilean politician and former president,41
Q313168,John G. Thompson,American mathematician,41
Q13484,Laurent Fignon,French professional road bicycle racer,41
Q14439,Phoebe Cates-Kline,"American actress, model, and entrepreneur",41
Q313294,Hu Jia,Chinese activist,41
Q296661,Cyrus Vance,United States Secretary of State from 1977 to 1980,41
Q213952,Steve Morse,American guitarist,41
Q313155,Nicolas Nkoulou,Cameroonian association football player,41
Q229366,Marija Naumova,Latvian singer and songwriter,41
Q334989,Tahar Ben Jelloun,Moroccan naturalized French writer,41
Q311342,Vladimír Šmicer,Czech footballer,41
Q57199,Joachim Peiper,German SS officer and convicted Nazi war criminal,41
Q1861917,Riz Ahmed,British actor and rapper,41
Q316417,Thomas P. Stafford,United States astronaut,41
Q223555,Shaukat Aziz,Pakistani politician,41
Q3510872,Bola Tinubu,President of Nigeria.,41
Q162767,Eveline Widmer-Schlumpf,Swiss lawyer and politician,41
Q310860,David Dacko,Prime Minister of the Central African Republic,41
Q336285,Tommy Remengesau,President of Palau,41
Q48136013,Mario Abdo Benítez,50st President of Paraguay,41
Q13646572,Gabriel Barbosa,Brazilian association football player,41
Q238993,Sônia Braga,Brazilian-American actress,41
Q439309,Costel Pantilimon,Romanian association football player,41
Q1297741,Michael Rosbash,American geneticist and chronobiologist,41
Q967656,Isaac Hempstead-Wright,English actor,41
Q167636,Farah Khan,Indian film director and choreographer,41
Q22683089,Audrey Azoulay,French politician and official,41
Q6999245,Diego Laxalt,Uruguayan futbol,41
Q76720,Heinz-Harald Frentzen,German racing driver,41
Q92767,Lotfi A. Zadeh,Electrical engineer and computer scientist,41
Q314241,José Sosa,Argentine association football player,41
Q316325,Andrew Wyeth,American Realist painter,41
Q559403,William Levy,American actor and model,41
Q356327,Geraint Thomas,Welsh racing cyclist,41
Q15838823,Sergey Aksyonov,Crimean politician,41
Q57476,James Michel,3rd President of Seychelles,41
Q320651,Gabriel Macht,American actor,41
Q26621,Matt Hardy,American professional wrestler,41
Q312404,John Charles,Welsh association football player,41
Q9602,Frances E. Allen,American computer scientist,41
Q310798,Stephen Wolfram,"British-American mathematician, physicist, computer scientist, writer and businessman",41
Q337489,Ali al-Sistani,Iranian-Iraqi Islamic scholar,41
Q314269,Lawrence Ferlinghetti,"American artist, writer and activist",41
Q312716,Dawda Kairaba Jawara,1st President of the Gambia,41
Q111320,Sven Kramer,Dutch speed skater,41
Q55403,Nagisa Ōshima,Japanese film director and screenwriter,41
Q312632,Jack Vance,American mystery and speculative fiction writer,41
Q3131983,Marianne Williamson,American writer and politician,41
Q511720,Rickie Lambert,English footballer,41
Q30876,Yash Chopra,"Indian film director, script writer and film producer",41
Q41322,Edward de Bono,Maltese physician,41
Q236491,Poli Genova,Bulgarian singer,41
Q311227,José Antonio Camacho,Spanish footballer,41
Q334388,Sam Allardyce,English association football player and manager,41
Q453512,Senad Lulić,Bosnian association football player,41
Q328951,Mary Kom,Indian amateur boxer,41
Q57614,Thomas Kretschmann,German actor,41
Q336841,George Chakiris,American actor,41
Q44628,Rob Van Dam,American professional wrestler and actor,41
Q315972,Yukiya Amano,Director General/International Atomic Energy Agency,41
Q521145,Mario Cuomo,"American politician, Governor of New York, United States",41
Q3809242,Petra Mede,"Swedish comedian, dancer and television host",41
Q229065,Tina Karol,"Ukrainian singer, actress, television presenter",41
Q18045362,Nguyễn Công Phượng,Vietnamese association football player,41
Q20983703,Hailey Bieber,American model and television personality,41
Q118116,Dexter Gordon,American jazz saxophonist,41
Q215824,Paul Robinson,English association football player,41
Q235321,Jill Stein,American politician and physician,41
Q313020,Dominic West,English actor,41
Q209944,Micah Richards,English association football player,41
Q982461,Vyacheslav Volodin,Chairman of the State Duma,41
Q16911049,Era Istrefi,Kosovo-Albanian singer,41
Q271050,Anna Gunn,American actress,41
Q139324,Trần Đức Lương,Vietnamese politician,41
Q297622,Willy van de Kerkhof,Dutch association football player,41
Q44507,Edmund Stoiber,German politician,41
Q313112,Lasse Schöne,Danish footballer,41
Q510462,Josip Iličić Calvo,Slovenian footballer,41
Q320052,Vincent D'Onofrio,American actor and filmmaker,41
Q158558,Dimple Kapadia,Indian actress,41
Q1739008,Ma Huateng,Chinese internet entrepreneur,41
Q310339,Carl Perkins,American guitarist,41
Q295153,Richie Sambora,American rock musician,41
Q331922,Rory Gallagher,Irish guitarist,41
Q309826,Marat Izmailov,Russian footballer,41
Q211136,Jaco Pastorius,American jazz bassist,41
Q232479,Sabrina Salerno,Italian singer,41
Q241502,Richard Dunne,Irish footballer,41
Q558689,Míchel,Spanish association football player and manager,41
Q311308,"Alois, Hereditary Prince of Liechtenstein",Hereditary Prince of Liechtenstein,41
Q235996,Jenny Shipley,New Zealand politician,41
Q1738578,Ken Berry,American actor,41
Q57475,Klaus Fuchs,German-born British theoretical physicist and atomic spy,41
Q16553648,Cristian Pavón,Argentine association football player,41
Q16575246,Maryna Bekh-Romanchuk,Ukrainian athletics competitor,41
Q316629,Alan Cumming,British actor,41
Q671930,Mehriban Aliyeva,"wife of Azerbaijan's president Ilham Aliyev, Vice President of Azerbaijan and Head of Heydar Aliyev Foundation",41
Q27342447,Andriy Lunin,Ukrainian association football player,41
Q315568,Masayoshi Ōhira,Japanese politician,41
Q15576453,Mia Malkova,American pornographic actress,41
Q155141,Eric Prydz,Swedish DJ and record producer,41
Q2669695,Quenten Martinus,Curaçaoan association football player,41
Q294501,Steve McManaman,English association football player,41
Q315551,Zenkō Suzuki,Prime Minister of Japan,41
Q294593,Jordi Cruyff,Dutch association football manager and former player,41
Q343037,Trevor Howard,"English film, stage and television actor",41
Q299355,Bryan Danielson,American professional wrestler,41
Q510401,Martin Dúbravka,Slovak association football player,41
Q1797508,Saulius Skvernelis,prime minister of Lithuania from 2016 to 2020,41
Q118490,Pavel Popovich,Soviet cosmonaut,41
Q15126651,Dami Im,Australian singer,41
Q379756,Quini,Spanish footballer,41
Q3329808,Benedict Wong,British actor,41
Q428819,Bobby Cannavale,American actor,41
Q209396,Marion Jones,American athlete,41
Q346945,Alessandro Altobelli,Italian footballer,41
Q23005609,Tomoki Iwata,Japanese association football player,41
Q593389,Jorge Solari,Argentine association football player and manager,41
Q430744,Kristína Peláková,Slovak singer,41
Q20090884,Hilda C. Heine,Marshallese politician,41
Q16845512,Kygo,Norwegian musician and DJ,41
Q351222,Adam Zagajewski,Polish poet,41
Q311657,Achille Emaná,Cameroonian association football player,41
Q311267,Bobby Darin,American singer and actor,41
Q312115,Tom Starke,German association football player,41
Q313389,Serge Ibaka,Congolese-Spanish basketball player,41
Q160154,Evgeny Kissin,Russian classical pianist,41
Q358087,Tyga,American rapper,41
Q237053,Isabelle Fuhrman,American actress,41
Q66358,Jannik Vestergaard,Danish association football player,41
Q486582,Lee Jong-suk,South Korean model and actor,41
Q24450982,Stefanos Tsitsipas,Greek tennis player,41
Q234434,Juno Temple,British actress,41
Q357114,Richard Brautigan,"American novelist, poet, and short story writer",41
Q316854,Daniel Wass,Danish association football player,41
Q1945815,Quim Torra,"Catalan politician, lawyer and editor, expresident of Catalonia",41
Q311317,Isaac Stern,American musician,41
Q356275,Paul Greengrass,English writer and film director,41
Q336640,David Byrne,Scottish-American musician,41
Q319470,Ivan Kozhedub,"Soviet aviator, thrice Hero of the Soviet Union",41
Q1395724,Selahattin Demirtaş,Turkish politician Zaza Origin,41
Q319803,Ronald Dworkin,American legal philosopher,41
Q24068577,Fikayo Tomori,English association football player,41
Q299413,Javier Clemente,Spanish footballer,41
Q983654,Sergey Naryshkin,Russian politician,41
Q26262219,Youssef En-Nesyri,Moroccan association football player,41
Q229743,Niamh Kavanagh,Irish singer,41
Q3241556,David Kaufman,American actor,41
Q238819,Jay Chou,"Taiwanese pop singer, songwriter, and actor",41
Q310683,Dolph Ziggler,American professional wrestler and comedian,41
Q2361757,Aygün Kazimova,Azerbaijani singer and actress,41
Q83816,A.J. Styles,American professional wrestler,41
Q208422,Taye Taiwo,Nigerian footballer,41
Q494996,Goo Hara,South Korean pop singer,41
Q277978,Topher Grace,American actor,41
Q152511,Eddie Fenech Adami,Maltese politician,41
Q231291,Sandra Kim,Belgian singer,41
Q283796,Christine McVie,British musician,41
Q230530,Sarah Shahi,American actress and model,41
Q272146,Michael Porter,American engineer and economist,41
Q12795878,Marjan Šarec,9th Prime Minister of Slovenia,41
Q110919,Gerry Rafferty,Scottish musician,41
Q104417661,Jakov Milatović,President of Montenegro since 2023,41
Q666748,Aleksandar Dragović,Austrian association football player,41
Q284876,Sam Waterston,"American actor, producer and director",41
Q80128,Federico Marchetti,Italian association football player,41
Q2272493,Florence Welch,"English musician, singer and songwriter",41
Q317631,Ira Levin,"American novelist, playwright",41
Q312628,Carlo Levi,"Italian painter, writer, politic and anti-fascist",41
Q297845,Manuel Fernandes,Portuguese footballer,41
Q36980,George Peppard,American actor,41
Q312639,Fred Perry,English tennis player,41
Q232840,Honor Blackman,English actress,41
Q62733,Leandro Damião,Brazilian association football player,41
Q372276,John Guidetti,Swedish association football player,41
Q16873,Juan Carlos Onetti,Uruguayan novelist,41
Q1395757,Vasili Arkhipov,Soviet submarine officer who averted nuclear war,41
Q77102,Max Schmeling,German boxer,41
Q1347269,Islam Slimani,Algerian association football player,41
Q312547,Frank Whittle,British Royal Air Force engineer air officer,41
Q229244,Katey Sagal,American actress,41
Q313673,John Wyndham,English science fiction author,41
Q73362,Benjamin Bratt,American actor and producer,41
Q129118,Ada Hegerberg,Norwegian footballer,41
Q781755,Aron Gunnarsson,Icelandic professional footballer,41
Q2548141,Edu Coimbra,Brazilian association football player and manager,41
Q315723,Burl Ives,American musician,41
Q315333,Luis Monti,Argentine and Italian footballer,41
Q208831,Oleh Husiev,Ukrainian footballer,41
Q18616995,Ruben Loftus-Cheek,English association football player,41
Q335039,Nolan Bushnell,American entrepreneur,41
Q310476,Fats Waller,American jazz pianist and composer,41
Q136687,Tommy Hilfiger,American fashion designer,41
Q4518,Alison Lohman,American actress,41
Q61227,Petra Kelly,German politician and activist,41
Q57445,Günter Schabowski,German politician,41
Q353451,Mikhail Gromov,Russian mathematician and academic,41
Q315286,Lucien Laurent,French footballer,41
Q58323,Thongloun Sisoulith,General Secretary of the Lao People's Revolutionary Party,41
Q313378,Joe Perry,American musician,41
Q55920,Kazimierz Marcinkiewicz,Polish politician,41
Q333538,Enrico Bombieri,Italian mathematician,41
Q213199,Tommy Robredo,Spanish tennis player,41
Q242342,Miuccia Prada,Italian fashion designer and entrepreneur,41
Q20051697,Julia Michaels,American singer,41
Q39263365,Coco Gauff,American tennis player,41
Q312878,John Carradine,American actor,41
Q217194,Jaber al-Ahmad al-Sabah,Emir of Kuwait from 1977 to 2006,41
Q467077,Efraín Ríos Montt,"former de facto President of Guatemala, army general, genocida and former president of Congress",41
Q313457,Enzo Bearzot,Italian football player and manager,41
Q40070,Takashi Shimura,Japanese actor,41
Q312902,Stephen Lang,American actor,41
Q276038,Riccardo Muti,Italian conductor,41
Q230747,Jacqueline Boyer,French singer,41
Q13989269,Pablo Iglesias Turrión,Spanish politician,41
Q1139993,Bray Wyatt,American professional wrestler,41
Q313929,Mortimer Jerome Adler,"American philosopher, author and educator",41
Q5541411,Jioji (George) Konrote,Fijian politician,41
Q68064,Antonio Cabrini,Italian footballer and manager,41
Q255233,Googoosh,Iranian singer and actor,41
Q92618,Peter Naur,Danish computer scientist,41
Q311314,Sam Elliott,American actor,41
Q622308,Damian Lillard,American professional basketball player,41
Q295732,László Kubala,Hungarian footballer,41
Q727798,Sajid Javid,British politician,41
Q176755,Christophe Dugarry,French association football player,41
Q233253,June Carter Cash,American musician,41
Q311393,Rob Rensenbrink,Dutch association football player,41
Q254827,Ronnie Colemanq,American IFBB professional bodybuilder,41
Q434786,Arnaldo Forlani,Italian politician,41
Q255011,Hana Mandlíková,Czech tennis player,41
Q216913,Deryck Whibley,"Canadian singer, songwriter, and musician",41
Q230993,Jenny McCarthy,"American actress, model, activist, television personality and author",41
Q2444534,Quique Setién,Spanish association football player and manager,41
Q302650,Tate Donovan,American actor,41
Q833002,Bodo Illgner,German footballer,41
Q955619,Roy Jones Jr.,"American boxer, rapper and actor",41
Q4241246,Bryan Cristante,Italian association football player,41
Q836732,Fernando Colunga,Mexican actor,41
Q328911,Dedryck Boyata,Belgian association football player,41
Q230846,Adriana Sklenaříková,Slovak actress and model,41
Q18428483,Sofyan Amrabat,Moroccan Association Football Player,41
Q2134696,Alejandro Giammattei,President of Guatemala,41
Q207401,Ledley King,English footballer,41
Q295592,Alex Pettyfer,English actor and model,41
Q231516,Ludmilla Tourischeva,Russian gymnast,41
Q311219,Sammo Hung,"Hong Kong actor, film director, choreographer and martial artist",41
Q18679122,Sofia Kenin,Russian-born American tennis player,41
Q298649,George Habash,founder of the Popular Front for the Liberation of Palestine,41
Q309808,Nicolás Lodeiro,Uruguayan association football player,41
Q295627,Scott Carson,English association football player,41
Q311450,Billy Preston,American R&B musician,41
Q1849128,Vlad Chiricheș,Romanian association football player,41
Q310170,Curtis Mayfield,American singer-songwriter,41
Q14537,Bill Hader,American comedian and actor,41
Q311596,Fatos Nano,Albanian politician,41
Q297128,David Henrie,American actor,41
Q228875,Georgie Henley,English actress,41
Q310679,Dino Merlin,Bosnian singer,41
Q122285,Carla Del Ponte,International jurist,41
Q159436,Jesse Jane,American pornographic actress,41
Q318960,Richard Leakey,"Kenyan paleoanthropologist, conservationist, and politician",41
Q59248252,Claudia Letizia,"Italian actress, dancer, model, television and radio hostess and singer",41
Q172777,Jean Alesi,French racecar driver,41
Q215665,Arnaldur Indriðason,"Icelandic crime writer, former journalist and film critic",41
Q223695,Feliciano López,Spanish tennis player,41
Q311332,Greg Louganis,American platform diver,41
Q230308,Emily Mortimer,British actress,41
Q222815,Daniel Jarque,Spanish footballer,41
Q230055,Izabella Scorupco,"Polish-Swedish model, actress and singer",41
Q160157,Joe Lieberman,American politician and attorney,41
Q298243,John Hannah,Scottish actor,41
Q23020990,Htin Kyaw,Burmese politician and scholar serving as the 9th President of Myanmar,41
Q271637,Terry O'Quinn,American actor,41
Q44513,Willy Sagnol,French association football player and manager,41
Q860876,Dane DeHaan,American actor,41
Q312170,Alain Giresse,French association football player and manager,41
Q2059493,Paul F. Tompkins,American actor,41
Q310300,James Taylor,American singer and guitarist,41
Q230586,Laura Esquivel,Mexican writer,41
Q168431,Ignazio Silone,Italian author and politician,41
Q367861,Jordan Ayew,French-Ghanaian association football player,41
Q234771,Iva Zanicchi,Italian singer and politician,41
Q312292,Tom Araya,American bassist and vocalist,41
Q309840,Francis Gary Powers,American pilot shot down flying a U-2 spy plane over the Soviet Union,41
Q16250142,Sherif Ismail,Egyptian politician,41
Q1000592,Tyson Fury,British boxer,41
Q200890,Vivian Maier,American street photographer,41
Q215938,Alberto Korda,Cuban photographer,41
Q54688,CoCo Vandeweghe,American tennis player,41
Q355425,Cesar Chavez,"American farm worker, labor leader, and civil rights activist",41
Q57604,Hildegard Knef,"German actress, singer and writer",41
Q232879,Lila Kedrova,actress,41
Q92761,Ian Murdock,"American computer scientist, open source developer, entrepreneur",41
Q169461,Anahí,Mexican actress retired 2024,41
Q255378,Ann Blyth,American actress,41
Q234865,Sue Grafton,American writer,41
Q273572,Arne Jacobsen,Danish architect,41
Q69319,John Kasich,American politician and former television host,41
Q298926,Lucio Costa,Brazilian architect,41
Q2623887,Hal Robson-Kanu,Welsh association football player,41
Q312626,Marco Tardelli,Italian footballer,41
Q232642,Jamie Chung,American actress,41
Q271656,Janick Gers,English guitarist,41
Q229952,Brenda Blethyn,British actress,41
Q367155,Robert Forster,American actor,41
Q232868,Clémence Poésy,French actress,41
Q2938630,Redfoo,American musician,41
Q2724855,Adrien Silva,Portuguese association football player,41
Q56349145,Yuki Soma,Japanese association football player,41
Q726142,Giancarlo Esposito,American actor,41
Q6029546,Petteri Orpo,Finnish politician and the 47th Prime Minister of Finland,41
Q230817,Devon Aoki,American model and actress,41
Q265697,Raimundo Orsi,Argentine-Italian footballer,41
Q777260,Jack Gleeson,Irish actor,41
Q19662918,Rupi Kaur,Canadian poet,41
Q313683,Jack Bruce,Scottish musician,41
Q58036,Ilse Koch,"German war criminal, wife of camp commandant Karl-Otto Koch",41
Q154311,Dennis Aogo,German association football player,41
Q2404977,Jameela Jamil,"British comedian, actress, presenter and activist",41
Q160772,Vicky Leandros,Greek singer,41
Q822036,Will Champion,English drummer,41
Q27329764,Évariste Ndayishimiye,Burundian politician,41
Q110321491,Jesús Castillo,Peruvian association football player,41
Q315349,Terry Eagleton,"British writer, academic and educator",41
Q235333,Britt Robertson,American actress,41
Q613659,Mihailo Petrović,Serbian footballer,41
Q44333953,Bad Bunny,"Puerto Rican rapper, singer, songwriter and record producer",41
Q171294,Vitantonio Liuzzi,Italian racing driver,41
Q822029,Jonny Buckland,Welsh guitarist,41
Q232015,Maite Perroni,"Mexican singer, dancer, actress, compositor, producer, host, model, bussiness woman",41
Q88608402,Drew Weissman,American physician-scientist,41
Q180193,Francis Coquelin,French association football player,40
Q16762720,Kiara Advani,Indian film actress,40
Q160795,David Odonkor,German association football player,40
Q57232,Sabine Bergmann-Pohl,"German politician, last leader of East Germany",40
Q234271,Nina Hartley,American pornographic actress,40
Q235759,Ruth Prawer Jhabvala,German-born British-American author,40
Q295615,Gérard Houllier,French association football manager,40
Q343055,David Harvey,British geographer and anthropologist,40
Q315289,Sebastian Prödl,Austrian association football player,40
Q230199,Anne Archer,American actress,40
Q106743,Fernando Rey,Spanish actor,40
Q313507,Judd Trump,English snooker player,40
Q56868118,William Saliba,French association football player,40
Q24368,Barbara Palvin,Hungarian model,40
Q335533,Adolfo López Mateos,55th President of Mexico,40
Q336125,Amitav Ghosh,Indian writer,40
Q297552,Tom Morello,American guitarist and musician,40
Q116922,Roman Zobnin,Russian footballer,40
Q264849,Aileen Wuornos,American serial killer,40
Q234890,Emmanuelle Seigner,French actress,40
Q313563,Casey Stoner,Australian former motorcycle racer,40
Q358345,Billy Dee Williams,American actor,40
Q297812,François Tombalbaye,President of Chad,40
Q380118,Hyun Bin,South Korean actor,40
Q78515,Karl von Habsburg,Head of the House of Habsburg,40
Q229054,Hilarie Burton,American actress,40
Q228593,Safura Alizadeh,Azerbaijani pop singer,40
Q150207,Stéphane Sessègnon,Beninese footballer,40
Q3928977,Rafael Toloi,Italian association football player,40
Q175907,Adam Clayton,"Irish rock musician, bass player of U2",40
Q355879,Robert Bloch,American fiction writer,40
Q359579,Oliver Reginald Tambo,South African anti-apartheid activist and politician,40
Q16595441,Remo Freuler,Swiss association football player,40
Q297265,Richard Hammond,English motoring journalist and broadcaster,40
Q235415,Jennifer Saunders,"English comedian, screenwriter, actress and teacher",40
Q3916703,Riley Reid,American pornographic actress,40
Q194579,Lucas Ocampos,Argentine footballer,40
Q234807,Carmen Maura,Spanish actress,40
Q238712,Sasha Pieterse,"South African actress, singer",40
Q263621,Albano Carrisi,Italian singer and actor,40
Q83907,Robert A. Dahl,American political scientist,40
Q161044,José Holebas,Greek association football player,40
Q229032,Janet Napolitano,American politician,40
Q236132,Çulpan Xämmatova,Russian actress,40
Q223672,Carolina Klüft,Swedish heptathlete and long jumper,40
Q294555,Paul Tibbets,United States Air Force pilot,40
Q2299195,Fyodor Bondarchuk,Russian cinematographist,40
Q312944,Béla Tarr,Hungarian film director,40
Q312728,Ken Rosewall,Australian tennis player,40
Q235517,Beverly Sills,American operatic soprano,40
Q13780454,Mario Lemina,Gabonese association football player,40
Q228868,Piper Perabo,American actress,40
Q159813,Nick Griffin,British politician,40
Q150276,Nkosazana Dlamini-Zuma,South African politician,40
Q55835,Ryszard Kaczorowski,"Polish statesman, Last President of Poland in Exile",40
Q18121626,Yui Hasegawa,Japanese association football player,40
Q317254,Chubby Checker,American rock 'n roll singer and dancer,40
Q239733,Kiki Bertens,Dutch tennis player,40
Q55190783,Hugo López-Gatell,"Mexican physician, researcher, professor and public official",40
Q170038,Jóhann Berg Guðmundsson,Icelandic footballer,40
Q26255506,Diogo Dalot,Portuguese footballer,40
Q3183674,Jordan Belfort,American stockbroker,40
Q48280,Marianne Faithfull,British singer,40
Q14945895,Keita Baldé,Senegalese professional footballer,40
Q260862,Rosario Castellanos,Mexican writer,40
Q310658,Marcin Wasilewski,Polish footballer,40
Q314208,Buddy Guy,American blues guitarist and singer,40
Q294326,Damien Hirst,English sculptor and installation artist,40
Q313545,Brian Dennehy,American actor,40
Q464957,Noor Inayat Khan,allied covert radio operator during World War II,40
Q18915,Esteban Gutiérrez,Mexican race car driver,40
Q16855376,Wayde van Niekerk,South African sprinter,40
Q22774055,Park Ji-hyo,South Korean singer,40
Q221798,Cicinho,Brazilian footballer and manager,40
Q223167,Bob Sinclar,French record producer and DJ,40
Q239914,Steve Finnan,Irish footballer,40
Q235211,Marsha Mason,American actress,40
Q266544,Chuck Schuldiner,American musician,40
Q109098,Katie Leung,British actress,40
Q332012,Ademir de Menezes,Brazilian footballer,40
Q128574,Joe Clark,16th Prime Minister of Canada,40
Q15063275,Tiemoué Bakayoko,French association football player,40
Q240896,Marina Vlady,"French actress, singer, and writer",40
Q449037,Alvin Ailey,"African-American dancer, choreographer and activist",40
Q6297,Olga Kaniskina,Russian race walker,40
Q3208406,Chloe Bennet,American actress and singer,40
Q369771,Muhamed Bešić,Bosnian footballer,40
Q26901,Luis Antonio Tagle,Roman Catholic Filipino Cardinal,40
Q3877574,Noah Centineo,American actor,40
Q200964,'Anwar al-Awlaqi,Yemeni-American imam,40
Q372470,Jonathan de Guzmán,Dutch association football player,40
Q242673,Park Min-young,South Korean model and actress,40
Q2895606,Mohsen Fakhrizadeh,Iranian general and physicist,40
Q71239,Adam Johnson,English association football player,40
Q5244614,Muhammad V of Kelantan,15th and former Yang di-Pertuan Agong of Malaysia & 29th and current Sultan of Kelantan,40
Q319996,Thomas Newman,American composer,40
Q233527,Carolina Kostner,Italian figure skater,40
Q28947,Kip Keino,Kenyan athlete,40
Q27214,Jerry Springer,American television personality and politician,40
Q208687,Nilmar,Brazilian association football player,40
Q63720,Serdar Tasci,German association football player,40
Q236809,Jeri Ryan,American actress,40
Q350684,Markel Susaeta,Spanish association football player,40
Q229881,Grace Slick,"American musician, writer and painter",40
Q229728,Sarah Chalke,Canadian actress,40
Q312064,Maynor Figueroa,Honduran footballer,40
Q120533,LeAnn Rimes,American singer and actress,40
Q24237,Andrew Nabbout,Australian association football player,40
Q313655,Kevin Sorbo,American actor,40
Q70997,Ralph H. Baer,German-American inventor and engineer,40
Q512353,Sharlto Copley,"South African producer, actor, and director",40
Q229322,Dinah Washington,"American singer, songwriter, pianist",40
Q350976,Ciaran Clark,association football player,40
Q60109,Michael Stich,German tennis player,40
Q297384,Jeremy Brett,English actor,40
Q498348,Jimmy Butler,American basketball player,40
Q236075,Aly Michalka,American singer and actress,40
Q6080205,Muharrem İnce,Turkish politician,40
Q230282,Brooklyn Decker,American model and actress,40
Q311798,Gaafar Nimeiry,Sudanese President,40
Q6112509,Māris Kučinskis,Latvian politician,40
Q311613,Michael Rosenbaum,American actor,40
Q3731533,Eric Trump,American businessman and Executive Vice President of the Trump Organization,40
Q366524,Nikolai Ryzhkov,Soviet official and Russian politician,40
Q307996,Abdellatif Kechiche,Tunisian-French film director,40
Q21546191,Carles Aleñá,Spanish association football player,40
Q313204,Kieran Culkin,American actor,40
Q230681,Jean Seberg,American actress,40
Q347635,Michel Galabru,French actor,40
Q369056,Teófilo Gutiérrez,Colombian footballer,40
Q319543,Gianluca Pessotto,Italian association football player,40
Q2619317,Bud Luckey,American animator,40
Q1408782,Keith Ferguson,American voice actor,40
Q317161,Wayne Shorter,American jazz saxophonist and composer,40
Q236024,Chavela Vargas,Mexican singer,40
Q20688219,Tzuyu,Taiwanese singer and dancer,40
Q440500,Rumi Utsugi,Japanese association football player,40
Q333632,Chico Buarque,Brazilian singer-songwriter,40
Q45667,B.o.B,"American rapper, singer and record producer",40
Q353019,Jerome Robbins,American choreographer & director,40
Q171302,Kazuki Nakajima,Japanese racing driver,40
Q95162,Roberta Vinci,Italian female tennis player,40
Q233959,Belinda Carlisle,American singer,40
Q6509762,Leandro Trossard,Belgian association football player,40
Q310588,Dennis Kucinich,American politician in Ohio,40
Q108444479,Mohammad Hasan Akhund,Prime Minster of Islamic Emirate of Afghanistan,40
Q167635,"Tyler, the Creator","American rapper, singer, songwriter, record producer, actor and fashion designer from California",40
Q43590358,Leonid Pasechnik,Russian politician and head of the Lugansk People's Republic,40
Q230501,Christina Milian,American singer and actress,40
Q60605,Serge Aurier,Ivorian association football player,40
Q450741,Stuart Hall,Jamaican-born British sociologist and cultural theorist,40
Q5879014,Gerónimo Rulli,Argentine association football player,40
Q316176,Neil Robertson,Australian professional snooker player,40
Q314095,Gordon Strachan,Scottish footballer and manager,40
Q1148937,Iwan Rheon,Welsh actor and musician,40
Q356303,Albert Brooks,American actor,40
Q41443,Lobsang Sangay,Prime Minister of the Tibetan Government in Exile,40
Q9424,Jack Nicklaus,American golfer,40
Q27654948,Abdalla Hamdok,Sudanese public administrator and prime minister,40
Q572761,Eiza Gonzalez,Mexican actress and singer,40
Q343983,Henry Winkler,"American actor, comedian, producer, director and writer",40
Q22082505,Marc Cucurella se come una paella,Spanish association football player,40
Q2056001,José Costa,Portuguese association football player and manager,40
Q21523936,Krzysztof Piątek,Polish association football player,40
Q237533,Natalya Estemirova,Russian human rights activist,40
Q241280,Andy Schleck,Luxembourgish road bicycle racer,40
Q158078,Alfred Schnittke,German Soviet composer,40
Q312364,Haing S. Ngor,Cambodian-American physician and actor,40
Q558226,Sami Yusuf,British musician,40
Q437457,Nicolas Lombaerts,Belgian association football player,40
Q213129,John Paintsil,Ghanaian footballer,40
Q229640,Anastasiya Kuzmina,Slovak biathlete,40
Q5042458,Carlos Pachamé,Argentine association football player and manager,40
Q282722,Trent Reznor,"American musician, singer, songwriter, record producer and composer",40
Q6395324,Ketanji Brown Jackson,US Supreme Court justice since 2022,40
Q1522527,Asma Jahangir,Pakistani human rights activist and lawyer,40
Q28497,Marc Forster,German-Swiss filmmaker,40
Q20641319,Kalvin Phillips,English association football player,40
Q192565,João Pereira,Portuguese footballer,40
Q2097,Kjetil André Aamodt,Norwegian alpine ski racer and TV host,40
Q181538,Rudolf Abel,Soviet intelligence officer,40
Q13488,Grégory Coupet,French association football player,40
Q311711,Pat Jennings,Northern Irish footballer,40
Q309214,Norman Jewison,"Canadian film director, producer and actor",40
Q218279,Zoey Deutch,American actress,40
Q3176414,Peter New,Canadian voice actor,40
Q242680,Birutė Galdika,Lithuanian-Canadian primatologist conservationist,40
Q552770,Olly Murs,British singer,40
Q321321,Mariano Andújar,Argentine association football player,40
Q333415,Ibrahim Babangida,Head of State of Nigeria,40
